,title,total_votes,mean_vote
727,La valanga,445,7.0
728,Evangelina,132,7.1
729,Diavoli volanti,255,6.1
730,La flotta del cielo,232,6.8
731,The Flying Scotsman,106,6.3
732,Una donna nella luna,2899,7.3
733,Fräulein Else,132,7.2
734,The Girl in the Show,115,6.9
735,Glorifying the American Girl,621,7.3
736,Donna pagana,687,7.3
737,Gold Diggers of Broadway,143,7.3
738,Goluboy ekspress,103,6.4
739,Il bandito e la signorina,117,5.6
740,Il gran Gabbo,694,6.4
741,The Greene Murder Case,285,6.9
742,Half Marriage,112,5.8
743,Alleluja!,1521,6.9
744,Gli eroi del deserto,520,7.2
745,Her Private Affair,117,5.3
746,High Voltage,289,5.4
747,The Hole in the Wall,134,6.0
748,Hollywood che canta,1827,7.5
749,Sette passi verso Satana,310,6.8
750,Il bacillo dell'amore,110,6.4
751,The Idle Rich,118,6.2
752,Notte di tradimento,898,5.7
753,The Informer,178,7.1
754,La maschera di ferro,1139,7.4
755,La romanza dell'amore,269,8.3
756,Il bacio,938,7.0
757,"Laila, la figlia del nord",214,7.3
758,Erik il grande,317,6.8
759,The Last Warning,441,7.1
760,L'onestà della signora Cheyney,381,6.2
761,The Letter,619,6.8
762,Linda,100,7.0
763,La porta chiusa,429,6.2
764,Il principe consorte,1924,7.2
765,Trappola d'amore,169,6.8
766,La stella della fortuna,1144,7.8
767,Madame X,431,6.1
768,L'isola del peccato,2555,6.4
769,La compagnia d'assalto,1148,8.2
770,Marianne,385,8.0
771,Uomini di domenica,2649,7.4
772,Rosa del Messico,151,5.9
773,Il conte di Montecristo,111,7.2
774,Il viaggio di mamma Krausens verso la felicità,246,7.0
775,Il drago rosso,187,6.9
776,L'isola misteriosa,562,6.2
777,Navy Blues,528,7.7
778,Notti di New York,169,6.3
779,L'arca di Noè,656,6.7
780,Les nouveaux messieurs,143,6.9
781,La nuova Babilonia,726,6.9
782,Oblomok imperii,332,7.1
783,On with the Show!,259,6.3
784,Ragazze americane,603,6.0
785,L'isola del sole,315,7.1
786,Piccadilly,1353,7.2
787,Prapancha Pash,710,6.6
788,"Prividenie, kotoroe ne vozvrashchaetsya",181,7.0
789,La regina Kelly,3049,7.8
790,The Racketeer,353,5.5
791,Redskin,157,7.0
792,Rio Rita,691,7.8
793,Il fiume,524,7.4
794,Arcobaleno,204,6.6
795,Rotaie,102,7.0
796,Sally,304,6.5
797,Saluto militare,156,5.5
798,"Lui, lei, l'altra",191,6.3
799,Seven Keys to Baldpate,267,6.3
800,"Clem, bizzarro monello",116,6.5
801,Show Boat,245,6.4
802,Rivista delle nazioni,367,6.4
803,The Silent Enemy,183,6.9
804,Donna che ama,489,6.9
805,Fatemi la corte,200,5.7
806,Der Sonderling,138,4.6
807,Cuori e motori,602,7.6
808,Io... e l'amore,1811,7.2
809,The Squall,328,4.8
