,title,total_votes,mean_vote
73971,Bridgend,2199,5.6
73972,Special Correspondents,20087,5.9
73973,Window Horses: The Poetic Persian Epiphany of Rosie Ming,433,6.9
73974,Crucifixion - Il male è stato invocato,6648,5.5
73975,Late Summer,303,5.2
73976,Genç pehlivanlar,144,6.8
73977,Weekend [Uik-end],150,5.8
73978,Mafak,156,8.1
73979,De Onde Eu Te Vejo,238,7.1
73980,Ivide,715,6.1
73981,Woodlawn,6528,6.9
73982,Khaad,609,7.4
73983,Warda,339,4.3
73984,Doraemon nel paese delle meraviglie,139,7.0
73985,Piena di grazia,241,6.8
73986,Smosh: The Movie,6001,4.3
73987,Madea's Tough Love,328,5.8
73988,Sonnambula,766,5.4
73989,Another Evil,890,5.6
73990,Cat Sick Blues,524,5.8
73991,Iyobinte Pusthakam,1907,7.9
73992,Siti,210,7.8
73993,Vechtmeisje,116,6.8
73994,Batalon,1279,6.7
73995,Trip to Bhangarh: Asia's Most Haunted Place,231,2.6
73996,Achoura,118,5.7
73997,Dixieland,1097,5.8
73998,Expelled,6423,5.6
73999,Ordinary World,2795,5.9
74000,Zed Plus,392,6.8
74001,Yatim khaneye Iran,278,6.7
74002,Missione Anthropoid,42497,7.4
74003,Strange Magic,9899,6.3
74004,Yamasong: March of the Hollows,184,5.4
74005,Meet the Blacks,35472,7.8
74006,L'incredibile vita di Norman,5569,6.1
74007,Teen Yaari Katha,300,7.4
74008,The Letter Red,107,3.4
74009,Forget Me Not,257,7.1
74010,She's Missing,247,4.6
74011,Chuye Dile Mon,1476,8.0
74012,Limonata,11747,7.6
74013,Yr Ymadawiad,300,6.2
74014,How to Build a Girl,1980,5.9
74015,Schmitke,241,6.3
74016,Indignazione,11330,6.7
74017,Lo Stato contro Fritz Bauer,4487,7.2
74018,Scottish Mussel,501,5.9
74019,Familieweekend,410,5.6
74020,Non raccontare favole,14512,7.8
74021,Birigyaru,2376,7.5
74022,Pilla Nuvvu Leni Jeevitham,280,6.5
74023,Chicas paranoicas,146,8.1
74024,Edinichka,331,6.4
74025,The Birth of a Nation - Il risveglio di un popolo,19659,6.5
74026,Jason Bourne,203948,6.7
74027,Four Blood Moons,150,5.6
74028,Is That a Gun in Your Pocket?,1717,6.3
74029,Mr. Church,25015,7.9
74030,Tatara Samurai,127,6.3
74031,Pattathu Yaanai,126,4.3
74032,Toire no Pieta,203,6.7
74033,A Date for Mad Mary,1794,7.2
74034,Unhallowed Ground,301,3.9
74035,Violent Shit: The Movie,250,3.2
74036,Playmobil The Movie,2913,5.1
74037,Shivam,115,6.7
74038,Na-eui dok-jae-ja,100,6.3
74039,Der Nanny,1855,5.8
74040,Höre die Stille,159,5.8
74041,The Love Affair,195,5.9
74042,Neko nanka yondemo konai,218,6.7
74043,Exit 14,527,4.9
74044,So-syeol-po-bi-a,436,6.6
74045,Voley,1118,6.5
74046,Elizabeth Ekadashi,593,8.5
74047,Staying Alive,398,5.9
74048,La volante,179,5.4
74049,Alarmed,243,3.5
74050,Eksik,280,6.2
74051,Prisoner X,578,5.4
74052,Ebola Zombies,128,3.5
74053,Del Playa,288,4.2
74054,Lejos del mar,195,5.6
74055,"Ja, ik wil!",731,6.3
74056,Chimera Strain,1138,5.7
74057,We Are Monsters,494,3.8
74058,Molly's Game,133677,7.5
74059,Balgar: The Movie,303,7.4
74060,The Confirmation,6097,6.5
74061,Nakom,152,6.9
74062,De nærmeste,929,6.2
74063,Adult Life Skills,3060,6.4
74064,The White King,4420,7.3
74065,80 te Asio Na,118,8.1
74066,Autoportretul unei fete cuminti,314,5.1
74067,Taj Mahal,670,5.1
74068,Toro,2745,6.0
74069,Quatretondeta,111,7.0
74070,Gekijouban Mozu,193,4.5
74071,Highway to Havasu,214,4.7
74072,River,1984,6.2
74073,Pig Pen,133,6.6
74074,Baden Baden,529,6.6
74075,Arès,3153,6.4
74076,La corte,1982,6.6
74077,Frau Müller muss weg!,1529,6.2
74078,Gong fu yu jia,8649,5.5
74079,Agonie,254,5.8
74080,The Sinking of Sozopol,171,6.6
74081,Einsamkeit und Sex und Mitleid,339,6.7
74082,Girl Flu.,401,6.1
74083,Widows - Eredità criminale,82616,6.8
74084,The Wall,23247,6.2
74085,Inhumane,260,3.2
74086,Gekijouban Psycho-Pass,3038,7.3
74087,Red Carpet,182,6.3
74088,Lokmanya Ek Yugpurush,453,8.6
74089,O Leão da Estrela,570,6.1
74090,Black Mountain Poets,286,6.1
74091,Ai Fai.. Thank You Love You,1841,7.3
74092,Game pluk phi,167,6.1
74093,Peur de rien,620,6.8
74094,Histoire de Judas,122,5.3
74095,The Subjects,1172,5.4
74096,Tiger,615,7.4
74097,Virus of the Dead,198,3.7
74098,Delinquent,350,6.1
74099,La babysitter,59979,6.3
74100,Victoria,50906,7.7
74101,Hero,355,6.0
74102,SBK: The Movie,245,7.8
74103,Uncle Kent 2,190,5.7
74104,Wrecker,2081,3.6
74105,Familien Jul,113,5.2
74106,Les cowboys,1939,6.7
74107,Shhh!,831,8.8
74108,Zid,992,5.0
74109,In nome di mia figlia,2371,7.1
74110,En équilibre,637,6.4
74111,The Unspoken,1820,5.1
74112,Drink Me,165,4.0
74113,The Adventure Club,257,5.3
74114,Eat Me,256,5.5
74115,"Il ricco, il povero e il maggiordomo",1783,5.4
74116,Scathing,187,5.1
74117,Tangent Room,276,4.8
74118,Complete Unknown - Cambio d'identità,5584,5.4
74119,8 novykh svidaniy,673,5.4
74120,"Supernova: The Knight, the Princess & Shooting Star",289,7.1
74121,This Giant Papier-Mâché Boulder Is Actually Really Heavy,145,7.4
74122,Broken Darkness,213,5.2
74123,Eipuriru fûruzu,384,6.2
74124,Once Again,691,7.4
74125,Bloodlands,115,6.7
74126,Showroom,356,5.1
74127,Antigang - Nell'ombra del crimine,3424,5.8
74128,Cómo ganar enemigos,112,6.4
74129,Hayalet Dayi,909,5.0
74130,Chung Cu Ma,121,6.0
74131,Pendekar Tongkat Emas,722,6.7
74132,Ithihasa,380,6.1
74133,L'impero dei cadaveri,991,6.1
74134,The Fits,4485,6.6
74135,Set Me Free: Vol. I,733,5.9
74136,Tanna,4033,6.9
74137,Lída Baarová,1774,5.9
74138,Siccîn,3154,6.2
74139,The Way We Weren't,1128,7.8
74140,My Father Die,931,5.9
74141,Gang jiong,1417,5.4
74142,Khodahafezi Toolani,210,5.9
74143,Wei ai zhi jian ru jia jing,152,4.1
74144,Beta Test,10146,7.2
74145,Alpha - Un'amicizia forte come la vita,52735,6.8
74146,Anton Tchékhov 1890,224,6.3
74147,The President's Cell Phone,107,4.8
74148,Popoz,678,5.2
74149,Tra amici,553,5.0
74150,Coconut Hero,892,6.5
74151,Wildflower,785,5.9
74152,The Paradise Suite,1484,7.3
74153,Fireworks,154,4.2
74154,Bon Bini Holland,1075,5.8
74155,Palmos,167,6.9
74156,Endorphine,615,6.1
74157,Aliens vs. Titanic,291,2.4
74158,I demoni,1061,6.7
74159,All Girls Weekend,1373,4.2
74160,Blood Circus,118,5.0
74161,Flowers,323,6.2
74162,Cannibals and Carpet Fitters,533,5.8
74163,11:55,496,5.4
74164,Nebbia in agosto,1552,7.3
74165,Good Luck Algeria,254,6.1
74166,Sangee,263,7.3
74167,The Prodigal Returns,154,7.8
74168,Wo lai zi Niu Yue,231,8.1
74169,Himalaya,924,6.7
74170,Çakallarla Dans 3: Sifir Sikinti,2295,5.5
74171,Toshokan sensô: The Last Mission,197,5.5
74172,The People Garden,183,5.1
74173,Kicks,4081,6.1
74174,Contracted: Phase II,4256,5.2
74175,The Great Silence,554,4.8
74176,Female Werewolf,113,2.4
74177,The Void - Il vuoto,29609,5.9
74178,Wan wu sheng zhang,385,4.5
74179,Toute première fois,1535,6.0
74180,Crache coeur,128,5.9
74181,"America, venim",256,6.5
74182,Miracoli dal cielo,20682,7.4
74183,The Lost Husband,2234,6.3
74184,Russell Madness,556,4.8
74185,Yennai Arindhaal,7791,7.6
74186,Ähmäd Haradadir?,188,7.9
74187,Yapisik Kardesler,1402,2.9
74188,2307: Winter's Dream,1480,4.4
74189,Ma tu di che segno 6?,350,3.9
74190,Exiled,259,6.6
74191,First Girl I Loved,2976,6.2
74192,Sanam Re,2754,3.9
74193,Shin Godzilla,21363,6.8
74194,Dance! Dance! Dance!,313,1.6
74195,The Witch - Vuoi ascoltare una favola?,189052,6.8
74196,The Snarling,398,5.2
74197,Axrinci Ashirim,146,8.6
74198,Bizim Cäbish Müällim,294,8.6
74199,Mahalla 2 Moskvada,164,7.1
74200,"O Olmasin, Bu Olsun",446,8.8
74201,Bite,4200,5.0
74202,Shifting Gears,161,5.7
74203,Cat Skin,177,6.5
74204,Amateur Night,4456,5.2
74205,Dora oder Die sexuellen Neurosen unserer Eltern,448,6.3
74206,There's Something in the Pilliga,244,5.5
74207,Badshahi Angti,911,6.8
74208,La notte ha divorato il mondo,9143,6.0
74209,Hell House LLC,8205,6.6
74210,Monsoon,131,7.2
74211,Out of Love,207,6.4
74212,Tappajan näköinen mies,452,5.9
74213,The Matchbreaker,2513,6.1
74214,Seven Stages to Achieve Eternal Bliss by Passing Through the Gateway Chosen by the Holy Storsh,420,5.6
74215,Grandma,14428,6.7
74216,Applesauce,886,6.5
74217,Alone,1542,4.5
74218,OK Kanmani,4721,7.7
74219,18% Grey,100,5.9
74220,"Tout, tout de suite",137,6.5
74221,Kuch Kuch Locha Hai,749,3.3
74222,The Boy and the Beast,19578,7.8
74223,Il gioco della follia,661,5.2
74224,Sotto l'ombra,22760,6.8
74225,Yu-Gi-Oh!: The Dark Side of Dimensions,2495,7.5
74226,Byuti insaideu,5057,7.6
74227,Grow House,315,5.7
74228,The Sex Addict,206,3.2
74229,La felicità è un sistema complesso,699,6.2
74230,The Secrets of Emily Blair,1299,4.3
74231,I cacciatori di tesori - La leggenda perduta,3381,6.1
74232,The Founder,117466,7.3
74233,Ma révolution,114,4.3
74234,Atrocity,201,3.7
74235,All Through the House,1836,6.2
74236,Sum1,1185,4.5
74237,La Gunguna,377,7.5
74238,Mili,647,6.1
74239,"Rico, Oskar und das Herzgebreche",170,6.4
74240,Appuntamento con la morte,189,5.2
74241,Western World,185,3.9
74242,Fight Valley,544,3.5
74243,Eh Janam Tumhare Lekhe,346,9.0
74244,Terrifier,13029,5.8
74245,Byomkesh Phire Elo,803,7.5
74246,Dead Story,3574,6.8
74247,And Punching the Clown,737,5.9
74248,Cong cong na nian,447,5.7
74249,Scary Tales: Last Stop,118,5.6
74250,Under Electric Clouds,718,6.4
74251,El abrazo de la serpiente,20136,8.0
74252,The Sublet,939,5.0
74253,Il segreto della sirena,381,5.3
74254,In-Lawfully Yours,1651,6.2
74255,Taipei - City of Love,200,4.6
74256,Broken Star,469,4.6
74257,The Circle,81826,5.3
74258,Isolation - Pericolo alle Bahamas,851,4.8
74259,The Warning,108,4.3
74260,West of Hell,604,5.6
74261,"Branco Sai, Preto Fica",518,6.4
74262,Shab,210,5.1
74263,Himitsu: The Top Secret,231,5.5
74264,Haha to kuraseba,386,6.4
74265,L'adopció,222,7.0
74266,James White,5816,7.1
74267,It Came from the Desert,1260,4.7
74268,Bloodrunners,1096,6.5
74269,Gekijô rei,305,4.6
74270,Nihon no ichiban nagai hi ketteiban,514,6.4
74271,Pisasu,1700,7.8
74272,Taking Earth,1030,3.2
74273,Una foto con Yuki,184,7.1
74274,My First Highway,125,5.9
74275,Kapan Kawin?,202,7.7
74276,Évolution,6070,5.9
74277,Lady Macbeth,18870,6.8
74278,Prey - La preda,1670,4.9
74279,Ville-Marie,692,6.1
74280,Kuessipan,226,7.4
74281,Gli eroi del male,912,6.5
74282,Jameh Daran,337,6.2
74283,Kayal,327,6.9
74284,L'attacco dei giganti: il film - Parte II - Le ali della libertà,4273,4.9
74285,Our Little Haven,214,6.3
74286,The Forlorned,161,6.0
74287,I Believe,183,7.1
74288,Maikol Yordan de Viaje Perdido,1684,8.9
74289,Across the Line,386,5.4
74290,Cousins,170,3.5
74291,Archivo 253,664,4.3
74292,Whispering of Dead,127,8.8
74293,Ladrones,251,5.7
74294,Theresa & Allison,741,6.8
74295,Le ricette della signora Toku,8798,7.5
74296,Un patto mortale,566,6.0
74297,Mein Blind Date mit dem Leben,4253,7.3
74298,A Noite da Virada,192,4.5
74299,Strangeways Here We Come,125,5.1
74300,Veloce come il vento,4255,7.4
74301,Sawah,483,7.8
74302,Mirror Game,215,6.6
74303,Killer Piñata,105,4.7
74304,L'odeur de la mandarine,267,6.7
74305,Meu Passado Me Condena 2: O Filme,880,5.7
74306,O Caseiro,209,6.5
74307,Kubo e la spada magica,115075,7.9
74308,Kis Kisko Pyaar Karoon,5476,5.9
74309,American Wrestler: The Wizard,1867,7.5
74310,I Am Not a Serial Killer,13281,6.3
74311,Siu je yau sam,120,5.3
74312,"English Only, Please",164,7.4
74313,Ossessioni nascoste,392,5.8
74314,Lovesong,4003,6.3
74315,Azemi,139,8.4
74316,Bou fung yue,394,5.9
74317,Mukunda,383,6.1
74318,Chinnadana Nee Kosam,342,5.7
74319,3 Bahadur,535,8.2
74320,Mr. And Mrs. Ramchari,1690,7.8
74321,Sevimli Tehlikeli,2962,6.9
74322,Yusuf Yusuf,1591,3.8
74323,Kappal,404,6.4
74324,Vellaikaara Durai,141,4.0
74325,Pallati 176,181,9.0
74326,Traumfrauen,2188,5.5
74327,Digimon Adventure tri. 1: Saikai,1412,7.8
74328,Gorcilo - Jesi li to dosao da me vidis,380,6.9
74329,Fashion Chicks,317,5.0
74330,Other Halves,243,4.7
74331,Sarmasik,8508,8.0
74332,Emmett,124,5.9
74333,Ye kong que,119,5.1
74334,Rat poison,215,7.0
74335,Du cheng feng yun II,938,4.6
74336,Lushui Hongyan,172,6.4
74337,Ch/B,466,6.4
74338,Aambala,809,4.6
74339,American Exorcist,158,3.4
74340,Munde Kamaal De,283,6.9
74341,Il piccolo Natale di Jill e Joy,101,5.9
74342,L'échappée belle,183,6.1
74343,Paris-Willouby,227,5.7
74344,La vie très privée de Monsieur Sim,474,6.2
74345,La sposa bambina,440,7.0
74346,Chaar,442,7.1
74347,The Evangelist,219,6.1
74348,Granny's Dancing on the Table,176,6.5
74349,Darkness Rising,1322,3.5
74350,Urineun Hyeongjeimnida,122,6.4
74351,Malgré la nuit,370,6.1
74352,Oneului yeonae,1124,6.6
74353,Il terrore al piano di sopra,181,3.7
74354,Schau mich nicht so an,164,6.6
74355,Ki-sool-ja-deul,1268,6.9
74356,Ng goh siu hai dik hau jeung,682,7.6
74357,Shiwan Ge Lengxiaohua,212,5.6
74358,Seoboojeonsun,264,6.7
74359,Os Caras de Pau em O Misterioso Roubo do Anel,200,4.1
74360,Chotoder Chobi,250,7.9
74361,Let the Music Play,380,6.0
74362,Mazlum Kuzey,284,3.4
74363,Mängelexemplar,399,6.1
74364,Ceza,130,2.5
74365,Jazbaa,3252,6.0
74366,Shot,278,5.6
74367,Finding Sofia,272,5.9
74368,Non sono più qui,3131,7.5
74369,Hollower,178,6.6
74370,Il mercato non si tocca,1688,5.4
74371,Polis Akademisi: Alaturka,574,2.5
74372,Abschussfahrt,615,5.1
74373,Ex with Benefits,235,6.2
74374,Julieta,28042,7.2
74375,Lost Birds,139,8.2
74376,Neden Tarkovski Olamiyorum...,582,6.1
74377,Retake,935,6.8
74378,Lady Bloodfight,2259,5.9
74379,NN,138,6.6
74380,Impossible Monsters,1582,8.1
74381,Le scaphandrier,143,5.0
74382,Leste Oeste,337,6.6
74383,Koisuru vanpaia,121,5.7
74384,Monday at 11:01 A.M.,244,4.9
74385,"Devil's Backbone, Texas",559,4.3
74386,Ebar Shabor,1274,7.4
74387,Masss,3416,6.8
74388,Yatchan,249,5.8
74389,Taramani,1273,7.8
74390,Sugar Daddies,945,5.2
74391,The Academy,129,7.5
74392,Love Jacked,1088,6.1
74393,Carte Blanche,828,7.0
74394,Don't Sleep,988,3.8
74395,Ms J Contemplates Her Choice,122,5.0
74396,Coup de chaud,356,6.1
74397,Persona 3 the Movie: #3 Falling Down,279,6.9
74398,Lady Ninja Kaede 2,129,4.8
74399,The Messenger's Box,109,2.9
74400,Quando hai 17 anni,5379,7.2
74401,Dolly Ki Doli,2735,4.5
74402,Fractured,49164,6.5
74403,Wkreceni 2,407,4.6
74404,La obra del siglo,117,6.5
74405,The Outfield,785,6.3
74406,Le grand jeu,327,5.4
74407,Robot Revolution,112,2.9
74408,Hunterrr,5477,7.2
74409,Single Lady,123,7.1
74410,The Bad Batch,25417,5.3
74411,Viva,1620,7.2
74412,Bonded by Blood 2,990,7.2
74413,Carnage Park,3233,5.0
74414,La mujer del animal,334,7.5
74415,My Birthday Song,239,6.1
74416,Ghost in the Shell - The Rising,3404,6.8
74417,J. Kessels,444,5.9
74418,Gopala Gopala,3456,7.9
74419,90 minuti in Paradiso,3333,5.3
74420,Distiller,115,5.2
74421,Hawaizaada,1645,6.3
74422,Ponte Aérea,601,6.6
74423,A Month of Sundays,350,6.2
74424,3 Lives,216,4.1
74425,Death by Tights,111,6.3
74426,Echo Effect,1313,3.9
74427,The Phoenix Incident,1468,5.5
74428,Queen of Katwe,14794,7.6
74429,El Bosque de Karadima,872,7.1
74430,La memoria dell'acqua,634,6.3
74431,Son Mektup,683,5.1
74432,Deported,221,4.9
74433,Women... and Sometimes Men,108,4.8
74434,Zhong fan 20 sui,1053,7.0
74435,Fatih'in Fedaisi Kara Murat,691,2.6
74436,Three Worlds,128,6.1
74437,Mayhem,15670,6.4
74438,Bomb City - I giorni della rabbia,6768,7.1
74439,Los Paracaidistas,134,6.9
74440,David and Goliath,432,3.6
74441,The Last Black Man in San Francisco,12754,7.3
74442,Dharam Sankat Mein,1995,6.5
74443,The Wave,2467,6.2
74444,Tony Bennett & Lady Gaga: Cheek to Cheek Live!,131,5.5
74445,Albert Pinto Ko Gussa Kyun Aata Hai?,350,6.6
74446,Es esmu seit,673,7.7
74447,Quello che veramente importa,5866,6.5
74448,A la mala,2300,6.6
74449,Il condominio dei cuori infranti,2786,7.2
74450,Tau,25474,6.0
74451,The Sex Trip,375,4.6
74452,"No Panic, With a Hint of Hysteria",393,8.1
74453,S.O.S.: Mulheres ao Mar 2,305,5.9
74454,Cialo,1920,6.5
74455,Rough Book,167,7.2
74456,Mihman Darim,159,5.9
74457,Taxi Teheran,13310,7.3
74458,Un lugar en el Caribe,1363,8.6
74459,Pinku to gurê,153,6.5
74460,Blackmark,232,5.2
74461,Ouija: L'origine del male,52290,6.1
74462,Show Yourself,138,5.6
74463,Golden Years,960,6.3
74464,Crumbs,479,6.3
74465,Lost in the Pacific,1639,5.5
74466,Härte,252,6.8
74467,The Man in the Shadows,319,3.6
74468,In viaggio verso un sogno - The Peanut Butter Falcon,51322,7.8
74469,7 Hours to Go,379,6.1
74470,Sex & Crime,173,6.1
74471,Open Tee Bioscope,1032,7.9
74472,La tempesta di sabbia,2920,6.8
74473,Ghost House,3940,4.9
74474,Break Night,170,5.6
74475,Everesuto: Kamigami no itadaki,196,5.9
74476,Helak: Kayip Köy,275,4.5
74477,O Diabo Mora Aqui,222,5.4
74478,The Creature Below,1151,4.7
74479,Petting Zoo,217,6.5
74480,Hide in the Light,335,4.0
74481,How to Win at Checkers (Every Time),779,7.3
74482,Qudrat ghayr adiya,230,6.3
74483,Cairo Time,190,6.4
74484,Agnus Dei,9028,7.4
74485,Icaros: A Vision,171,6.3
74486,Blood Vow,373,6.7
74487,Bhaiyya Bhaiyya,104,3.4
74488,Detour - Fuori controllo,5216,6.3
74489,Because of Grácia,185,6.8
74490,Qanli Yanvar,117,7.6
74491,Classmates,278,7.7
74492,Siska Deluxe,410,6.4
74493,Sharafat Gayi Tel Lene,265,5.4
74494,Uno al año no hace daño,134,3.5
74495,Tereddüt,1851,6.5
74496,Beyond the Bridge,143,6.7
74497,Julija in alfa Romeo,120,6.0
74498,Mulgoe,1309,6.2
74499,Aferim!,6229,7.7
74500,Rosie O'Donnell: A Heartfelt Standup,158,5.9
74501,Bir Varmis Bir Yokmus,987,5.8
74502,Los Angeles Overnight,378,7.6
74503,Klub wlóczykijów,130,6.7
74504,Enclosure,1354,4.4
74505,Il club,9374,7.2
74506,Crazy Beautiful You,704,7.7
74507,Arcadia,218,4.4
74508,Zinzana,610,7.0
74509,Cerca de tu casa,296,6.9
74510,Nirbashito,162,7.1
74511,Nirbaak,673,6.5
74512,Ot W Far,255,6.2
74513,Enragés,1608,6.0
74514,Sickle,137,5.6
74515,Slam - Tutto per una ragazza,1112,6.2
74516,San ren xing,1669,5.9
74517,Chu dai chiu fung,1700,6.9
74518,Nightmare on Elmo's Street,110,4.0
74519,The Greasy Strangler,6368,5.9
74520,Pumpkins,116,3.3
74521,Lost Cat Corona,324,5.2
74522,"Io, Dio e Bin Laden",6464,5.1
74523,Extraction,9831,4.2
74524,"Polina, danser sa vie",1571,6.8
74525,Una vita da gatto,20493,5.6
74526,Ikari,2213,7.0
74527,A Love You,168,5.5
74528,Pataas,731,7.5
74529,Picket 43,1084,7.5
74530,Pionery-geroi,202,6.2
74531,Le donne della mia vita,38690,7.4
74532,My Soul to Keep,570,5.6
74533,Tout pour être heureux,476,6.3
74534,31st October,223,6.4
74535,Airlift,51927,8.4
74536,A Christmas Carol,110,4.6
74537,Haphead,150,5.9
74538,Fiore gemello,164,6.2
74539,Una voce interiore,3062,6.2
74540,La passion d'Augustine,515,7.3
74541,Slumlord,4676,5.1
74542,Hua li shang ban zu,801,6.1
74543,Always Shine,3909,5.6
74544,Chto tvoryat muzhchiny! 2,1219,6.9
74545,Neil Stryker and the Tyrant of Time,170,5.4
74546,Comfort,315,7.5
74547,Hiroin shikkaku,1032,6.6
74548,Koibitotachi,174,6.7
74549,Follow,624,5.0
74550,Time Out,285,6.9
74551,Liberty's Secret,353,5.7
74552,Cities of Last Things,1136,6.2
74553,FirstBorn,1729,5.0
74554,Fitoor,4265,5.6
74555,The Booth at the End 2,364,8.5
74556,The Lodgers - Non infrangere le regole,8150,5.2
74557,Se permetti non parlarmi di bambini!,1762,6.8
74558,Mister Chocolat,6530,7.1
74559,Babysitting 2,5073,6.6
74560,Vendeur,152,5.9
74561,Appena apro gli occhi - Canto per la libertà,1219,7.0
74562,Meu Amigo Hindu,426,6.0
74563,The Ballad of Lefty Brown,5212,6.4
74564,Eat Local - A cena coi vampiri,1971,5.5
74565,Everything Before Us,987,7.4
74566,Isai,576,6.6
74567,The Gatehouse,170,5.4
74568,Kartoffelsalat,6512,1.7
74569,Three Days in August,110,6.1
74570,Dead 7,1203,3.8
74571,Barf,108,5.8
74572,12 gam ngap,263,4.8
74573,Luis e gli Alieni,1980,6.3
74574,Die Nacht der 1000 Stunden,174,6.0
74575,Ma,204,6.3
74576,Slice,2555,4.7
74577,Actor Martinez,105,6.0
74578,Il clan,11865,7.0
74579,The Secret: Dare to Dream,1147,6.7
74580,Rachel,17330,6.0
74581,In Dubious Battle - Il coraggio degli ultimi,3588,6.3
74582,Mi gran noche,3880,6.1
74583,Two Lovers and a Bear,1744,6.1
74584,Abzurdah,1768,5.5
74585,Ishq Junoon: The Heat is On,106,4.3
74586,Un amore di collega,936,5.7
74587,Seumool,1791,7.0
74588,Ah Boys to Men 3: Frogmen,257,7.3
74589,Kaaki Sattai,1132,5.9
74590,Out,115,6.4
74591,Mukhtiar Chadha,301,4.5
74592,Shark Lake,1992,3.8
74593,Lake Nowhere,361,6.5
74594,Shivam,322,5.9
74595,Nenu Sailaja,1558,7.4
74596,Dap huet cam mui,1853,6.6
74597,Game: He Plays to Win,172,7.0
74598,The Spiritualist,169,3.9
74599,Asre Yakhbandan,938,6.3
74600,Fuerzas Especiales 2: Cabos Sueltos,124,3.6
74601,We Still Steal the Old Way,904,5.3
74602,Matilda,1932,5.6
74603,Holidays,9884,5.1
74604,Konets prekrasnoy epokhi,345,6.5
74605,Sensoria,524,4.9
74606,Alma,163,5.1
74607,"Rock, Paper, Scissors",319,4.8
74608,Game Therapy,709,3.4
74609,Infidus,533,7.8
74610,Smoking Guns,1028,6.4
74611,Frisky,111,6.4
74612,A Floresta das Almas Perdidas,492,5.5
74613,Lies We Tell,455,4.6
74614,Mahana,800,7.3
74615,Crazy Lake,294,3.9
74616,Ohthes,130,4.8
74617,7 Witches,661,3.7
74618,Pojkarna,1039,6.2
74619,John Wick - Capitolo 2,352050,7.6
74620,Phi ha Ayothaya,137,5.2
74621,Mo 6/5 pak ma tha phi 3,122,4.7
74622,Violencia,168,6.2
74623,Arctic - Un'avventura glaciale,1204,5.0
74624,Ni le ciel ni la terre,952,6.4
74625,Animals,1386,6.1
74626,Beira-Mar,2129,5.9
74627,14+,1421,7.3
74628,Walkaway Joe,493,6.7
74629,Faut pas lui dire,357,5.0
74630,Cerise,170,5.7
74631,Braqueurs,3931,6.3
74632,Quella peste di Sophie,330,5.6
74633,Éperdument,1387,6.1
74634,Marie et les naufragés,199,6.2
74635,Marguerite,4846,7.0
74636,Marguerite e Julien - La leggenda degli amanti impossibili,868,5.3
74637,La legge del mercato,5525,6.8
74638,Dégradé,250,6.8
74639,Papanasam,5438,8.5
74640,Scarpette rosse e i 7 nani,1858,6.7
74641,Cord,161,4.7
74642,Pyaar Ka Punchnama 2,13734,7.6
74643,Drishyam,66043,8.4
74644,I tempi felici verranno presto,122,5.0
74645,Ssesibong,348,6.4
74646,Love Records - anna mulle Lovee,397,5.8
74647,Malli Malli Idhi Rani Roju,872,8.0
74648,Catalina,231,8.6
74649,Imena visnje,113,7.2
74650,Hannah,1099,6.0
74651,Salineuiloe,575,6.5
74652,Nebesnyy verblyud,163,7.9
74653,RangiTaranga,12176,8.8
74654,Last Day of School,338,4.2
74655,Maquinaria Panamericana,237,6.4
74656,Innuendo,136,6.9
74657,Terra Formars,1821,4.8
74658,The Oath - Il giuramento,1906,6.6
74659,Matters of the Heart,124,5.1
74660,Udta Punjab,26309,7.8
74661,Senza controllo,1259,6.3
74662,Yagavarayinum Naa Kakka,464,6.9
74663,Valiyavan,208,5.5
74664,Bad Night,630,5.3
74665,Bana Adini Sor,647,6.2
74666,Tommy la mummia e la sfinge di Shakaba,108,5.9
74667,Hallows Eve,232,4.3
74668,Street Level,113,6.2
74669,Polskie gówno,254,5.1
74670,Cattivi vicini 2,111318,5.7
74671,Officer Downe,1834,4.5
74672,Tag,5196,6.1
74673,Shi gu,568,6.5
74674,Gyarakushî kaidou,209,4.4
74675,The Evil Within,109,7.9
74676,Achter de wolken,252,6.3
74677,Everybody Happy,212,5.4
74678,Farhope Tower,144,4.9
74679,Cold Moon,1446,4.7
74680,Salt and Fire,2344,4.3
74681,El cadáver de Anna Fritz,4673,6.0
74682,Hangman,1938,4.9
74683,Cavalli selvaggi,3119,4.9
74684,Donald Cried,1163,6.7
74685,Temper,5600,8.0
74686,Better Watch Out,28490,6.5
74687,Weepah Way for Now,465,6.1
74688,Off-Piste,600,5.0
74689,Native,361,4.8
74690,Happy Journey,199,7.2
74691,Aux,291,5.0
74692,As You Are,1962,6.8
74693,Waiting for the Miracle to Come,141,4.9
74694,Heimatland,216,6.3
74695,Desolation,600,5.5
74696,Once Upon a Time in London,4587,7.3
74697,Following Phil,313,6.6
74698,Urumeen,188,6.6
74699,Sophelikoptern,135,6.8
74700,Romeo Juliet,971,6.1
74701,Rajathandhiram,1170,7.8
74702,Purampokku,552,6.3
74703,Porto,1701,6.3
74704,Rosalie Blum,1179,6.9
74705,Instant Death,411,4.9
74706,Level Up,1236,4.6
74707,Tiger Raid,458,5.3
74708,Bark Ranger,137,4.5
74709,Orange Mittai,618,6.9
74710,Nannbenda,329,3.7
74711,My Little Pony: Equestria Girls - Friendship Games,1485,6.7
74712,Post Human: An Event,145,3.7
74713,You Will Kill,385,3.5
74714,Parla con tuo marito,4448,6.4
74715,Armstrong,284,4.9
74716,Poesia senza fine,4826,7.7
